,Title,Year,Domestic Gross
485,An Officer and a Gentleman,1982,"$129,795,554"
486,The Ring,2002,"$129,128,133"
487,The Nutty Professor,1996,"$128,814,019"
488,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,"$128,505,958"
489,Ghostbusters,2016,"$128,350,574"
490,Kingsman: The Secret Service,2015,"$128,261,724"
491,Robots,2005,"$128,200,012"
492,Coming to America,1988,"$128,152,301"
493,"Crouching Tiger, Hidden Dragon",2000,"$128,078,872"
494,Shutter Island,2010,"$128,012,934"
495,Into the Woods,2014,"$128,002,372"
496,Rocky IV,1985,"$127,873,716"
497,Enchanted,2007,"$127,807,262"
498,The Curious Case of Benjamin Button,2008,"$127,509,326"
499,Central Intelligence,2016,"$127,440,871"
500,Anchorman 2: The Legend Continues,2013,"$127,352,707"
501,Sweet Home Alabama,2002,"$127,223,418"
502,Bumblebee,2018,"$127,195,589"
503,Dumb and Dumber,1994,"$127,175,374"
504,2 Fast 2 Furious,2003,"$127,154,901"
505,My Best Friend's Wedding,1997,"$127,120,029"
506,Super 8,2011,"$127,004,179"
507,The World Is Not Enough,1999,"$126,943,684"
508,Sleepless in Seattle,1993,"$126,808,165"
509,Smokey and the Bandit,1977,"$126,737,428"
510,Lucy,2014,"$126,663,600"
511,The Legend of Tarzan,2016,"$126,643,061"
512,Bee Movie,2007,"$126,631,277"
513,Prometheus,2012,"$126,477,084"
514,Safe House,2012,"$126,373,434"
515,Mr. Deeds,2002,"$126,293,452"
516,The Truman Show,1998,"$125,618,201"
517,Erin Brockovich,2000,"$125,595,205"
518,Ocean's Twelve,2004,"$125,544,280"
519,Terminator Salvation,2009,"$125,322,469"
520,Charlie's Angels,2000,"$125,305,545"
521,Tomorrow Never Dies,1997,"$125,304,276"
522,Lone Survivor,2013,"$125,095,601"
523,Sully,2016,"$125,070,033"
524,Rocky III,1982,"$125,049,125"
525,The Vow,2012,"$125,014,030"
526,Life of Pi,2012,"$124,987,023"
527,The Fault in Our Stars,2014,"$124,872,350"
528,Cloudy with a Chance of Meatballs,2009,"$124,870,275"
529,The Devil Wears Prada,2006,"$124,740,460"
530,Something's Gotta Give,2003,"$124,728,738"
531,Traffic,2000,"$124,115,725"
532,The Birdcage,1996,"$124,060,553"
533,City Slickers,1991,"$124,033,791"
534,"Good Morning, Vietnam",1987,"$123,922,370"
535,Rango,2011,"$123,477,607"
536,Nutty Professor II: The Klumps,2000,"$123,309,890"
537,The Good Dinosaur,2015,"$123,087,120"
538,G.I. Joe: Retaliation,2013,"$122,523,060"
539,Clear and Present Danger,1994,"$122,187,717"
540,The Hunt for Red October,1990,"$122,012,643"
541,The Bodyguard,1992,"$122,006,740"
542,Wayne's World,1992,"$121,697,323"
543,The Bourne Identity,2002,"$121,661,683"
544,Superbad,2007,"$121,463,226"
545,Speed,1994,"$121,248,145"
546,50 First Dates,2004,"$120,908,074"
547,Mamma Mia! Here We Go Again,2018,"$120,634,935"
548,Mulan,1998,"$120,620,254"
549,Inglourious Basterds,2009,"$120,540,719"
550,Seabiscuit,2003,"$120,277,854"
551,Van Helsing,2004,"$120,177,084"
552,Four Christmases,2008,"$120,146,040"
553,I Now Pronounce You Chuck &amp; Larry,2007,"$120,059,556"
554,The Mask,1994,"$119,938,730"
555,Cloudy with a Chance of Meatballs 2,2013,"$119,793,567"
556,Hook,1991,"$119,654,823"
557,Blazing Saddles,1974,"$119,601,481"
558,Walk the Line,2005,"$119,519,402"
559,G-Force,2009,"$119,436,770"
560,Total Recall,1990,"$119,412,921"
561,On Golden Pond,1981,"$119,285,432"
562,The Other Guys,2010,"$119,219,978"
563,Fahrenheit 9/11,2004,"$119,194,771"
564,Back to the Future Part II,1989,"$119,000,002"
565,The Sum of All Fears,2002,"$118,907,036"
566,Hairspray,2007,"$118,871,849"
567,The Break-Up,2006,"$118,703,275"
568,Lemony Snicket's A Series of Unfortunate Events,2004,"$118,634,549"
569,Blades of Glory,2007,"$118,594,548"
570,Salt,2010,"$118,311,368"
571,Basic Instinct,1992,"$117,727,224"
572,Now You See Me,2013,"$117,723,989"
573,Ford v Ferrari,2019,"$117,624,357"
574,Big Momma's House,2000,"$117,559,438"
575,Die Hard 2,1990,"$117,540,947"
576,Horrible Bosses,2011,"$117,538,559"
577,The Nun,2018,"$117,450,119"
578,Rocky,1976,"$117,235,147"
579,Jackass 3D,2010,"$117,229,692"
580,Ocean's Thirteen,2007,"$117,154,724"
581,S.W.A.T.,2003,"$116,934,650"
582,The Wolf of Wall Street,2013,"$116,900,694"
583,8 Mile,2002,"$116,750,901"
584,Double Jeopardy,1999,"$116,741,558"
585,Lee Daniels' The Butler,2013,"$116,632,095"
586,Green Lantern,2011,"$116,601,172"
587,Notting Hill,1999,"$116,089,678"
588,The Towering Inferno,1974,"$116,000,000"
589,You've Got Mail,1998,"$115,821,495"
590,Ghost Rider,2007,"$115,802,596"
591,Creed II,2018,"$115,715,889"
592,Remember the Titans,2000,"$115,654,751"
593,District 9,2009,"$115,646,235"
594,Unbroken,2014,"$115,637,895"
595,Peter Rabbit,2018,"$115,253,424"
596,Big,1988,"$115,227,281"
597,Girls Trip,2017,"$115,171,585"
598,The Karate Kid Part II,1986,"$115,103,979"
599,American Graffiti,1973,"$115,000,000"
600,Dumbo,2019,"$114,766,307"
601,Fifty Shades Darker,2017,"$114,581,250"
602,Dodgeball,2004,"$114,326,736"
603,The Village,2004,"$114,197,520"
604,Bolt,2008,"$114,053,579"
605,Maleficent: Mistress of Evil,2019,"$113,929,605"
606,Wild Wild West,1999,"$113,804,681"
607,Night at the Museum: Secret of the Tomb,2014,"$113,746,621"
608,Magic Mike,2012,"$113,721,571"
609,The Addams Family,1991,"$113,502,426"
610,The Patriot,2000,"$113,330,342"
611,Bad Moms,2016,"$113,257,297"
612,The Bourne Legacy,2012,"$113,203,870"
613,The Pacifier,2005,"$113,086,868"
614,Dr. Dolittle 2,2001,"$112,952,899"
615,The Rocky Horror Picture Show,1975,"$112,892,319"
616,It's Complicated,2009,"$112,735,375"
617,Spy Kids,2001,"$112,719,001"
618,Ghostbusters II,1989,"$112,494,738"
619,Face/Off,1997,"$112,276,146"
620,The Hangover Part III,2013,"$112,200,072"
621,Twins,1988,"$111,938,388"
622,Spy Kids 3-D: Game Over,2003,"$111,761,982"
623,Doctor Zhivago,1965,"$111,721,910"
624,Enemy of the State,1998,"$111,549,836"
625,The Little Mermaid,1989,"$111,543,479"
626,Mr. Peabody &amp; Sherman,2014,"$111,506,430"
627,Porky's,1982,"$111,289,673"
628,The Last Samurai,2003,"$111,127,263"
629,Glass,2019,"$111,048,468"
630,Spy,2015,"$110,825,712"
631,Tropic Thunder,2008,"$110,515,313"
632,Godzilla: King of the Monsters,2019,"$110,500,138"
633,Valentine's Day,2010,"$110,485,654"
634,The Grudge,2004,"$110,359,362"
635,Fun with Dick and Jane,2005,"$110,332,737"
636,Freaky Friday,2003,"$110,230,332"
637,Trainwreck,2015,"$110,212,700"
638,Bedtime Stories,2008,"$110,101,975"
639,Scary Movie 3,2003,"$110,003,217"
640,Creed,2015,"$109,767,581"
641,Star Trek IV: The Voyage Home,1986,"$109,713,132"
642,The 40-Year-Old Virgin,2005,"$109,449,237"
643,Crocodile Dundee II,1988,"$109,306,210"
644,Couples Retreat,2009,"$109,204,945"
645,One Flew Over the Cuckoo's Nest,1975,"$108,981,275"
646,A Time to Kill,1996,"$108,766,007"
647,Black Hawk Down,2001,"$108,638,745"
648,Terms of Endearment,1983,"$108,423,489"
649,Ace Ventura: When Nature Calls,1995,"$108,385,533"
650,The Upside,2019,"$108,252,517"
651,The Princess Diaries,2001,"$108,248,956"
652,Superman II,1981,"$108,185,706"
653,Little Women,2019,"$108,101,214"
654,Hop,2011,"$108,085,305"
655,Pulp Fiction,1994,"$107,928,762"
656,Paranormal Activity,2009,"$107,918,810"
657,Baby Driver,2017,"$107,825,862"
658,A League of Their Own,1992,"$107,533,928"
659,Epic,2013,"$107,518,682"
660,Watchmen,2009,"$107,509,799"
661,The Angry Birds Movie,2016,"$107,509,366"
662,Batman &amp; Robin,1997,"$107,353,792"
663,Captain Phillips,2013,"$107,100,855"
664,Black Swan,2010,"$106,954,678"
665,Analyze This,1999,"$106,885,658"
666,Chicken Run,2000,"$106,834,564"
667,Miss Congeniality,2000,"$106,807,667"
668,Indecent Proposal,1993,"$106,614,059"
669,Driving Miss Daisy,1989,"$106,593,296"
670,300: Rise of an Empire,2014,"$106,580,051"
671,Love Story,1970,"$106,550,690"
672,GoldenEye,1995,"$106,429,941"
673,Kramer vs. Kramer,1979,"$106,260,000"
674,The Italian Job,2003,"$106,128,601"
675,How to Lose a Guy in 10 Days,2003,"$105,813,373"
676,The Lego Movie 2: The Second Part,2019,"$105,806,508"
677,The First Wives Club,1996,"$105,489,203"
678,Robin Hood,2010,"$105,269,730"
679,Interview with the Vampire: The Vampire Chronicles,1994,"$105,264,608"
680,George of the Jungle,1997,"$105,263,257"
681,Hustlers,2019,"$104,963,598"
682,The Graduate,1967,"$104,945,305"
683,Pitch Perfect 3,2017,"$104,897,530"
684,Phenomenon,1996,"$104,636,382"
685,American Wedding,2003,"$104,565,114"
686,Road to Perdition,2002,"$104,454,762"
687,The Princess and the Frog,2009,"$104,400,899"
688,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"$104,386,950"
689,Daddy Day Care,2003,"$104,297,061"
690,Daddy's Home 2,2017,"$104,029,443"
691,Paranormal Activity 3,2011,"$104,028,807"
692,Journey 2: The Mysterious Island,2012,"$103,860,290"
693,The Mule,2018,"$103,804,407"
694,Dick Tracy,1990,"$103,738,726"
695,Rise of the Guardians,2012,"$103,412,758"
696,Dreamgirls,2006,"$103,365,956"
697,9 to 5,1980,"$103,290,500"
698,Independence Day: Resurgence,2016,"$103,144,286"
699,The Expendables,2010,"$103,068,524"
700,Scream,1996,"$103,046,663"
701,Just Go with It,2011,"$103,028,109"
702,Murder on the Orient Express,2017,"$102,826,543"
703,The General's Daughter,1999,"$102,705,852"
704,The Aviator,2004,"$102,610,330"
705,American Pie,1999,"$102,561,004"
706,Daredevil,2003,"$102,543,518"
707,The Girl with the Dragon Tattoo,2011,"$102,515,793"
708,The Mummy: Tomb of the Dragon Emperor,2008,"$102,491,776"
709,The Conjuring 2,2016,"$102,470,008"
710,The Maze Runner,2014,"$102,427,862"
711,In the Line of Fire,1993,"$102,314,823"
712,Butch Cassidy and the Sundance Kid,1969,"$102,308,889"
713,Mary Poppins,1964,"$102,272,727"
714,Bambi,1942,"$102,247,150"
715,Annabelle: Creation,2017,"$102,092,201"
716,The Equalizer 2,2018,"$102,084,362"
717,Bad Grandpa,2013,"$102,003,019"
718,Pacific Rim,2013,"$101,802,906"
719,Journey to the Center of the Earth,2008,"$101,704,370"
720,Gone in 60 Seconds,2000,"$101,648,571"
721,Maverick,1994,"$101,631,272"
722,Sleeping with the Enemy,1991,"$101,599,005"
723,The Equalizer,2014,"$101,530,738"
724,This Is the End,2013,"$101,470,202"
725,Eagle Eye,2008,"$101,440,743"
726,The Prince of Egypt,1998,"$101,413,188"
727,Scream 2,1997,"$101,363,301"
728,Stir Crazy,1980,"$101,300,000"
729,Eraser,1996,"$101,295,562"
730,Noah,2014,"$101,200,044"
731,Unforgiven,1992,"$101,157,447"
732,The Cat in the Hat,2003,"$101,149,285"
733,Con Air,1997,"$101,117,573"
734,Sleepy Hollow,1999,"$101,071,502"
735,Rampage,2018,"$101,028,233"
736,Collateral,2004,"$101,005,703"
737,Contact,1997,"$100,920,329"
738,Charlie's Angels: Full Throttle,2003,"$100,830,111"
739,The Pelican Brief,1993,"$100,768,056"
740,Vanilla Sky,2001,"$100,618,344"
741,Arrival,2016,"$100,546,139"
742,Due Date,2010,"$100,539,043"
743,Jumanji,1995,"$100,499,940"
744,The Rugrats Movie,1998,"$100,494,675"
745,Million Dollar Baby,2004,"$100,492,203"
746,Airport,1970,"$100,489,151"
747,A Wrinkle in Time,2018,"$100,478,608"
748,Step Brothers,2008,"$100,468,793"
749,Evan Almighty,2007,"$100,462,298"
750,Fifty Shades Freed,2018,"$100,407,760"
751,Casper,1995,"$100,328,194"
752,Shakespeare in Love,1998,"$100,317,794"
753,Bad Teacher,2011,"$100,292,856"
754,Yogi Bear,2010,"$100,246,011"
755,Cowboys &amp; Aliens,2011,"$100,240,551"
756,Kingsman: The Golden Circle,2017,"$100,234,838"
757,Edge of Tomorrow,2014,"$100,206,256"
758,The Hunchback of Notre Dame,1996,"$100,138,851"
759,Se7en,1995,"$100,125,643"
760,Parenthood,1989,"$100,047,830"
761,The Addams Family,2019,"$100,044,905"
762,You Don't Mess with the Zohan,2008,"$100,018,837"
763,Passengers,2016,"$100,014,699"
764,Die Hard with a Vengeance,1995,"$100,012,499"
765,Gnomeo &amp; Juliet,2011,"$99,967,670"
766,Christopher Robin,2018,"$99,215,042"
767,Hercules,1997,"$99,112,101"
768,Olympus Has Fallen,2013,"$98,925,640"
769,The Green Hornet,2011,"$98,780,042"
770,Date Night,2010,"$98,711,404"
771,The Color Purple,1985,"$98,467,863"
772,Meet the Robinsons,2007,"$97,822,171"
773,Yes Man,2008,"$97,690,976"
774,Sausage Party,2016,"$97,685,686"
775,Inspector Gadget,1999,"$97,403,112"
776,Public Enemies,2009,"$97,104,620"
777,The Social Network,2010,"$96,962,694"
778,Schindler's List,1993,"$96,898,818"
779,Downton Abbey,2019,"$96,854,135"
780,The Others,2001,"$96,522,687"
781,Legally Blonde,2001,"$96,520,674"
782,Panic Room,2002,"$96,397,334"
783,Rocketman,2019,"$96,368,160"
784,Dead Poets Society,1989,"$95,860,116"
785,Zero Dark Thirty,2012,"$95,720,716"
786,Norbit,2007,"$95,673,607"
787,Cold Mountain,2003,"$95,636,509"
788,Arthur,1981,"$95,461,682"
789,Sex and the City 2,2010,"$95,347,692"
790,Michael,1996,"$95,318,203"
791,The Princess Diaries 2: Royal Engagement,2004,"$95,170,481"
792,42,2013,"$95,020,213"
793,Unbreakable,2000,"$95,011,339"
794,The Book of Eli,2010,"$94,835,059"
795,"10,000 BC",2008,"$94,784,201"
796,Beverly Hills Chihuahua,2008,"$94,514,402"
797,Saturday Night Fever,1977,"$94,213,184"
798,Julie &amp; Julia,2009,"$94,125,426"
799,The Mask of Zorro,1998,"$94,095,523"
800,Maid in Manhattan,2002,"$94,011,225"
801,He's Just Not That Into You,2009,"$93,953,653"
802,Master and Commander: The Far Side of the World,2003,"$93,927,920"
803,Flight,2012,"$93,772,375"
804,The Fighter,2010,"$93,617,009"
805,America's Sweethearts,2001,"$93,607,673"
806,Lady and the Tramp,1955,"$93,602,326"
807,The Bucket List,2007,"$93,466,502"
808,Tomorrowland,2015,"$93,436,322"
809,The Magnificent Seven,2016,"$93,432,655"
810,Cats &amp; Dogs,2001,"$93,385,515"
811,Space Station 3D,2002,"$93,383,953"
812,Two Weeks Notice,2002,"$93,354,851"
813,Red Dragon,2002,"$93,149,898"
814,Cinderella,1950,"$93,141,149"
815,When Harry Met Sally...,1989,"$93,075,866"
816,Elysium,2013,"$93,050,117"
817,Flubber,1997,"$92,977,226"
818,Flashdance,1983,"$92,921,203"
819,The Town,2010,"$92,186,262"
820,Non-Stop,2014,"$92,168,600"
821,The Client,1994,"$92,115,211"
822,Blade Runner 2049,2017,"$92,054,159"
823,John Wick: Chapter 2,2017,"$92,029,184"
824,Star Trek: First Contact,1996,"$92,027,888"
825,Think Like a Man,2012,"$91,547,205"
826,Kindergarten Cop,1990,"$91,457,688"
827,Heaven Is for Real,2014,"$91,443,253"
828,The Haunting,1999,"$91,411,151"
829,Crimson Tide,1995,"$91,387,195"
830,Back to School,1986,"$91,258,000"
831,Ride Along 2,2016,"$91,221,830"
832,Stepmom,1998,"$91,137,662"
833,The Imitation Game,2014,"$91,125,683"
834,The Karate Kid,1984,"$91,077,276"
835,Save the Last Dance,2001,"$91,057,006"
836,The Scorpion King,2002,"$91,047,077"
837,Prince of Persia: The Sands of Time,2010,"$90,759,676"
838,Antz,1998,"$90,757,863"
839,Scary Movie 4,2006,"$90,710,620"
840,The Game Plan,2007,"$90,648,202"
841,"Me, Myself &amp; Irene",2000,"$90,570,999"
842,High School Musical 3,2008,"$90,559,416"
843,Madea Goes to Jail,2009,"$90,508,336"
844,Space Cowboys,2000,"$90,464,773"
845,Space Jam,1996,"$90,418,342"
846,Get Hard,2015,"$90,411,453"
847,Trading Places,1983,"$90,404,800"
848,RED,2010,"$90,380,162"
849,Planes,2013,"$90,288,712"
850,Legally Blonde 2,2003,"$90,186,328"
851,Mystic River,2003,"$90,135,191"
852,Terminator Genisys,2015,"$89,760,956"
853,Flightplan,2005,"$89,707,299"
854,Father of the Bride,1991,"$89,325,780"
855,The Emperor's New Groove,2000,"$89,302,687"
856,The Lone Ranger,2013,"$89,302,115"
857,Taken 3,2015,"$89,256,424"
858,Don't Breathe,2016,"$89,217,875"
859,Scream 3,2000,"$89,143,175"
860,Oblivion,2013,"$89,107,235"
861,The Ugly Truth,2009,"$88,915,214"
862,Percy Jackson &amp; the Olympians: The Lightning Thief,2010,"$88,768,303"
863,Failure to Launch,2006,"$88,715,192"
864,The Muppets,2011,"$88,631,237"
865,Inside Man,2006,"$88,513,495"
866,Back to the Future Part III,1990,"$88,277,583"
867,Waterworld,1995,"$88,246,220"
868,Starsky &amp; Hutch,2004,"$88,237,754"
869,Along Came Polly,2004,"$88,097,164"
870,The Hand That Rocks the Cradle,1992,"$88,036,683"
871,Entrapment,1999,"$87,704,396"
872,Peter Pan,1953,"$87,404,651"
873,Pineapple Express,2008,"$87,341,380"
874,Miss Peregrine's Home for Peculiar Children,2016,"$87,242,834"
875,Everest,1998,"$87,178,599"
876,Out of Africa,1985,"$87,071,205"
877,Sisters,2015,"$87,044,645"
878,Saw II,2005,"$87,039,965"
879,The Naked Gun 2½: The Smell of Fear,1991,"$86,930,411"
880,The Campaign,2012,"$86,907,746"
881,The War of the Roses,1989,"$86,888,546"
882,The Amityville Horror,1979,"$86,432,000"
883,Presumed Innocent,1990,"$86,303,188"
884,Young Frankenstein,1974,"$86,273,333"
885,The Accountant,2016,"$86,260,045"
886,Dumb and Dumber To,2014,"$86,208,010"
887,The Emoji Movie,2017,"$86,089,513"
888,Mean Girls,2004,"$86,058,055"
889,Annie,2014,"$85,911,262"
890,Alvin and the Chipmunks: The Road Chip,2015,"$85,886,987"
891,Spy Kids 2: Island of Lost Dreams,2002,"$85,846,429"
892,Fury,2014,"$85,817,906"
893,Pokémon: The First Movie - Mewtwo Strikes Back,1999,"$85,744,662"
894,Alita: Battle Angel,2019,"$85,710,210"
895,Real Steel,2011,"$85,468,508"
896,The SpongeBob SquarePants Movie,2004,"$85,417,988"
897,Power Rangers,2017,"$85,364,450"
898,Brother Bear,2003,"$85,336,277"
899,Stripes,1981,"$85,297,000"
900,Anchorman: The Legend of Ron Burgundy,2004,"$85,288,303"
901,Every Which Way but Loose,1978,"$85,196,485"
902,Rocky II,1979,"$85,182,160"
903,Aliens,1986,"$85,160,248"
904,Open Season,2006,"$85,105,259"
905,Green Book,2018,"$85,080,171"
906,The Expendables 2,2012,"$85,028,192"
907,Dangerous Minds,1995,"$84,919,401"
908,Paranormal Activity 2,2010,"$84,752,907"
909,Steel Magnolias,1989,"$84,614,512"
910,The Poseidon Adventure,1972,"$84,563,118"
911,Tammy,2014,"$84,525,432"
912,The Santa Clause 3: The Escape Clause,2006,"$84,500,122"
913,Ferdinand,2017,"$84,410,380"
914,"Crazy, Stupid, Love.",2011,"$84,351,197"
915,Annabelle,2014,"$84,273,813"
916,Pinocchio,1940,"$84,254,167"
917,Scooby-Doo 2: Monsters Unleashed,2004,"$84,216,833"
918,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,"$84,158,461"
919,Atlantis: The Lost Empire,2001,"$84,056,472"
920,Cliffhanger,1993,"$84,049,211"
921,The Other Woman,2014,"$83,911,193"
922,The X Files,1998,"$83,898,313"
923,Penguins of Madagascar,2014,"$83,850,911"
924,Up in the Air,2009,"$83,823,381"
925,Wrath of the Titans,2012,"$83,670,083"
926,Insidious: Chapter 2,2013,"$83,586,447"
927,Under Siege,1992,"$83,563,139"
928,Battle Los Angeles,2011,"$83,552,429"
929,Die Hard,1988,"$83,519,093"
930,Immortals,2011,"$83,504,017"
931,I Can Only Imagine,2018,"$83,482,352"
932,Apocalypse Now,1979,"$83,471,511"
933,Airplane!,1980,"$83,453,539"
934,Patriot Games,1992,"$83,351,587"
935,Saving Mr. Banks,2013,"$83,301,580"
936,Smallfoot,2018,"$83,240,103"
937,Good Boys,2019,"$83,140,306"
938,Valkyrie,2008,"$83,077,833"
939,Brokeback Mountain,2005,"$83,043,761"
940,Turbo,2013,"$83,028,128"
941,Disclosure,1994,"$83,015,089"
942,Charlotte's Web,2006,"$82,985,708"
943,Monster-in-Law,2005,"$82,931,301"
944,Are We There Yet?,2005,"$82,674,398"
945,Days of Thunder,1990,"$82,670,733"
946,Freddy vs. Jason,2003,"$82,622,655"
947,Star Trek,1979,"$82,604,699"
948,The Descendants,2011,"$82,584,160"
949,Cheaper by the Dozen 2,2005,"$82,571,173"
950,Mr. Holland's Opus,1995,"$82,569,971"
951,Bram Stoker's Dracula,1992,"$82,522,790"
952,Fried Green Tomatoes,1991,"$82,418,501"
953,Let's Be Cops,2014,"$82,390,774"
954,Blade II,2002,"$82,348,319"
955,Beowulf,2007,"$82,280,579"
956,Bridge to Terabithia,2007,"$82,272,442"
957,The Pink Panther,2006,"$82,226,474"
958,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"$82,051,601"
959,The Post,2017,"$81,903,458"
960,Jaws 2,1978,"$81,766,007"
961,Alien,1979,"$81,765,459"
962,Maze Runner: The Scorch Trials,2015,"$81,697,192"
963,Heaven Can Wait,1978,"$81,640,278"
964,Eight Below,2006,"$81,612,565"
965,MASH,1970,"$81,600,000"
966,Unstoppable,2010,"$81,562,942"
967,Payback,1999,"$81,526,121"
968,Ted 2,2015,"$81,476,385"
969,The Talented Mr. Ripley,1999,"$81,298,265"
970,School of Rock,2003,"$81,261,177"
971,Police Academy,1984,"$81,198,894"
972,Snow Dogs,2002,"$81,172,560"
973,21,2008,"$81,159,365"
974,While You Were Sleeping,1995,"$81,057,016"
975,Congo,1995,"$81,022,101"
976,The Notebook,2004,"$81,001,787"
977,Jimmy Neutron: Boy Genius,2001,"$80,936,232"
978,Another 48 Hrs.,1990,"$80,818,974"
979,Moonstruck,1987,"$80,640,528"
980,Eat Pray Love,2010,"$80,574,010"
981,The Texas Chainsaw Massacre,2003,"$80,571,655"
982,Zookeeper,2011,"$80,360,843"
983,Alien vs. Predator,2004,"$80,282,231"
984,What Happens in Vegas,2008,"$80,277,646"
985,The Dukes of Hazzard,2005,"$80,270,227"
986,The Wedding Singer,1998,"$80,245,725"
987,Saw III,2006,"$80,238,724"
988,The Mummy,2017,"$80,227,895"
989,Disturbia,2007,"$80,209,692"
990,Nacho Libre,2006,"$80,197,993"
991,Jumper,2008,"$80,172,128"
992,Goosebumps,2015,"$80,080,379"
993,Jack Reacher,2012,"$80,070,736"
994,Cloverfield,2008,"$80,048,433"
995,Footloose,1984,"$80,035,402"
996,Dear John,2010,"$80,014,842"
997,Men in Black: International,2019,"$80,001,807"
998,A Star Is Born,1976,"$80,000,000"
999,Knowing,2009,"$79,957,634"
