,title,network,imdb_rating,num_imdb_ratings,rt_critic_rating,rt_audience_rating,genres,tv_rating,release_year,runtime_mins,rt_season_ratings,imdb_url
0,La Casa de Papel,Netflix,8.5,215007,91.0,82.0,"['action', 'crime', 'mystery', 'thriller']",TV-MA,2017.0,70.0,"[nan, 100, 100, 75]",https://www.imdb.com/title/tt6468322/
1,Ozark,Netflix,8.4,136710,81.0,91.0,"['crime', 'drama', 'thriller']",TV-MA,2017.0,60.0,"[70, 76, 97]",https://www.imdb.com/title/tt5071412/
2,Tiger King,Netflix,7.8,33700,86.0,86.0,"['documentary', 'crime']",TV-MA,2020.0,31.0,[86],https://www.imdb.com/title/tt11823076/
3,Westworld,HBO,8.7,388252,85.0,80.0,"['drama', 'mystery', 'sci-fi', 'western']",TV-MA,2016.0,62.0,"[87, 86, 83]",https://www.imdb.com/title/tt0475784/
4,The Walking Dead,AMC,8.2,821809,81.0,78.0,"['drama', 'horror', 'thriller']",TV-MA,2010.0,44.0,"[88, 83, 90, 76, 64, 64, 91, 91]",https://www.imdb.com/title/tt1520211/
5,Community,NBC,8.5,185048,88.0,88.0,['comedy'],TV-14,2009.0,22.0,"[90, 100, 91, 65, 93, 89]",https://www.imdb.com/title/tt1439629/
6,Better Call Saul,AMC,8.7,280536,97.0,96.0,"['crime', 'drama']",TV-MA,2015.0,46.0,"[97, 97, 97, 99, 99]",https://www.imdb.com/title/tt3032476/
7,Unorthodox,Netflix,8.2,15568,93.0,94.0,['drama'],TV-MA,2020.0,21.0,[93],https://www.imdb.com/title/tt9815454/
8,Game of Thrones,HBO,9.3,1658978,89.0,86.0,"['action', 'adventure', 'drama', 'fantasy', 'romance']",TV-MA,2011.0,57.0,"[90, 96, 96, 97, 93, 94, 93, 58]",https://www.imdb.com/title/tt0944947/
9,Tales from the Loop,Amazon,7.5,3362,82.0,79.0,"['drama', 'sci-fi']",TV-MA,2020.0,50.0,[82],https://www.imdb.com/title/tt8741290/
10,Breaking Bad,AMC,9.5,1332330,96.0,98.0,"['crime', 'drama', 'thriller']",TV-MA,2008.0,49.0,"[86, 97, 100, 100, 97]",https://www.imdb.com/title/tt0903747/
11,Grey's Anatomy,ABC,7.6,231121,83.0,80.0,"['drama', 'romance']",TV-14,2005.0,41.0,"[100, 91, 91, 100, 89, 93, 100, 100]",https://www.imdb.com/title/tt0413573/
12,Homeland,Showtime,8.3,293795,85.0,86.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2011.0,55.0,"[100, 93, 80, 81, 88, 78, 80, 84]",https://www.imdb.com/title/tt1796960/
13,The Office,NBC,8.9,348547,81.0,92.0,['comedy'],TV-14,2005.0,22.0,"[100, 100, 83, 100, 73, 83, 44, 78]",https://www.imdb.com/title/tt0386676/
14,Schitt's Creek,POP,8.3,30569,92.0,96.0,['comedy'],TV-14,2015.0,22.0,"[63, 100, nan, 100, nan, 100, 100]",https://www.imdb.com/title/tt3526078/
15,Peaky Blinders,Netflix,8.8,276218,92.0,94.0,"['crime', 'drama']",TV-MA,2013.0,60.0,"[87, 100, 100, 93, 84]",https://www.imdb.com/title/tt2442560/
16,Modern Family,ABC,8.4,325823,85.0,87.0,"['comedy', 'drama', 'romance']",TV-PG,2009.0,22.0,"[67, 90, 100, 67, nan, nan, nan, 83]",https://www.imdb.com/title/tt1442437/
17,Outlander,Starz,8.4,108101,92.0,90.0,"['drama', 'fantasy', 'romance']",TV-MA,2014.0,64.0,"[91, 92, 93, 88, 96]",https://www.imdb.com/title/tt3006802/
18,The Mandalorian,Disney+,8.7,153512,93.0,93.0,"['action', 'adventure', 'sci-fi']",TV-PG,2019.0,30.0,[93],https://www.imdb.com/title/tt8111088/
19,Vikings,History,8.6,383867,93.0,89.0,"['action', 'adventure', 'drama', 'history', 'romance', 'war']",TV-MA,2013.0,44.0,"[82, 93, 100, 92, 91, 100]",https://www.imdb.com/title/tt2306299/
20,Little Fires Everywhere,Hulu,7.6,2400,78.0,65.0,['drama'],TV-MA,2020.0,53.0,[78],https://www.imdb.com/title/tt8089592/
21,Homecoming,Amazon Prime Video,7.5,15757,98.0,71.0,"['drama', 'thriller']",TV-MA,2018.0,30.0,[98],https://www.imdb.com/title/tt7008682/
22,Brooklyn Nine-Nine,FOX; NBC,8.4,186718,97.0,93.0,"['comedy', 'crime']",TV-14,2013.0,22.0,"[89, 100, 93, 100, 100, 100, 100]",https://www.imdb.com/title/tt2467372/
23,Supernatural,CW,8.4,371347,93.0,86.0,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']",TV-14,2005.0,44.0,"[63, 100, 100, 90, 100, 100, 90, 100]",https://www.imdb.com/title/tt0460681/
24,All American,CW,7.6,4369,96.0,,"['drama', 'sport']",TV-14,2018.0,45.0,"[92, 100, nan]",https://www.imdb.com/title/tt7414406/
25,Stranger Things,Netflix,8.8,725728,93.0,91.0,"['drama', 'fantasy', 'horror', 'mystery', 'sci-fi', 'thriller']",TV-14,2016.0,51.0,"[97, 94, 89, nan]",https://www.imdb.com/title/tt4574334/
26,The Blacklist,NBC,8.0,177735,91.0,89.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2013.0,43.0,"[82, 83, 93, 90, 100, 100, nan]",https://www.imdb.com/title/tt2741602/
27,Killing Eve,BBC America/AMC,8.3,65731,92.0,88.0,"['action', 'adventure', 'drama', 'thriller']",TV-14,2018.0,42.0,"[96, 93, 87]",https://www.imdb.com/title/tt7016936/
28,Friends,NBC,8.9,750880,78.0,94.0,"['comedy', 'romance']",TV-14,1994.0,22.0,"[nan, nan, 100, 100, nan, 100, 20, 86]",https://www.imdb.com/title/tt0108778/
29,Star Trek: Picard,CBS,7.7,30229,87.0,60.0,"['action', 'adventure', 'drama', 'sci-fi']",TV-MA,2020.0,46.0,[87],https://www.imdb.com/title/tt8806524/
30,Black Mirror,Netflix,8.8,392377,83.0,81.0,"['drama', 'sci-fi', 'thriller']",TV-MA,2011.0,60.0,"[98, 87, 89, 86, 85, 72, 68]",https://www.imdb.com/title/tt2085059/
31,Lucifer,FOX/Netflix ,8.2,190032,87.0,85.0,"['crime', 'drama', 'fantasy']",TV-14,2015.0,42.0,"[49, 100, 100, 100]",https://www.imdb.com/title/tt4052886/
32,Devs,Hulu,7.9,5097,81.0,69.0,"['drama', 'mystery', 'sci-fi', 'thriller']",TV-MA,2020.0,50.0,[81],https://www.imdb.com/title/tt8134186/
33,Criminal Minds,CBS,8.1,148106,87.0,,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2005.0,42.0,"[nan, nan, nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt0452046/
35,Elite,Netflix,7.6,33723,97.0,88.0,"['crime', 'drama', 'thriller']",TV-MA,2018.0,60.0,"[100, 91, 100]",https://www.imdb.com/title/tt7134908/
36,The Witcher,Netflix,8.3,242899,67.0,92.0,"['action', 'adventure', 'drama', 'fantasy', 'horror', 'mystery']",TV-MA,2019.0,60.0,"[67, nan]",https://www.imdb.com/title/tt5180504/
37,Rick and Morty,Cartoon Network,9.2,330309,95.0,94.0,"['animation', 'adventure', 'comedy', 'sci-fi']",TV-14,2013.0,23.0,"[96, 91, 96, 100]",https://www.imdb.com/title/tt2861424/
38,The Wire,HBO,9.3,263663,94.0,97.0,"['crime', 'drama', 'thriller']",TV-MA,2002.0,59.0,"[85, 95, 100, 100, 93]",https://www.imdb.com/title/tt0306414/
39,Home Before Dark,Apple TV+,7.6,1430,80.0,95.0,"['crime', 'drama', 'mystery']",TV-14,2020.0,54.0,[80],https://www.imdb.com/title/tt6053512/
40,The Big Show Show,Netflix,6.5,863,84.0,,['comedy'],unrated,2020.0,25.0,[nan],https://www.imdb.com/title/tt10726356/
41,The Sopranos,HBO,9.2,273689,92.0,98.0,"['crime', 'drama']",TV-MA,1999.0,55.0,"[100, 94, 100, 91, 92, 89, 83]",https://www.imdb.com/title/tt0141842/
42,Dark,Netflix,8.7,168730,94.0,94.0,"['crime', 'drama', 'mystery', 'sci-fi', 'thriller']",TV-MA,2017.0,60.0,"[89, 100]",https://www.imdb.com/title/tt5753856/
43,The Flash,CW,7.7,293837,89.0,71.0,"['action', 'adventure', 'drama', 'sci-fi']",TV-PG,2014.0,43.0,"[92, 94, 85, 79, 94, 91]",https://www.imdb.com/title/tt3107288/
44,Sex Education,Netflix,8.3,125342,94.0,,"['comedy', 'drama']",TV-MA,2019.0,45.0,"[91, 97, nan]",https://www.imdb.com/title/tt7767422/
45,Hunters,SyFy,7.2,19577,59.0,,"['crime', 'drama', 'mystery']",TV-MA,2020.0,60.0,[nan],https://www.imdb.com/title/tt7456722/
46,Fargo,FX,8.9,297634,96.0,93.0,"['crime', 'drama', 'thriller']",TV-MA,2014.0,53.0,"[97, 100, 93, nan]",https://www.imdb.com/title/tt2802850/
47,Prison Break,FOX,8.3,448235,60.0,77.0,"['action', 'crime', 'drama', 'mystery', 'thriller']",TV-14,2005.0,44.0,"[77, 71, 50, 50, 55]",https://www.imdb.com/title/tt0455275/
48,Future Man,Hulu,7.8,17792,91.0,83.0,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi']",TV-MA,2017.0,30.0,"[82, 100, nan]",https://www.imdb.com/title/tt4975856/
49,Hawaii Five-0,CBS,7.3,64314,72.0,,"['action', 'crime', 'drama']",TV-14,2010.0,42.0,"[nan, 100, nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt1600194/
50,The Outsider,HBO,8.0,41430,82.0,85.0,"['crime', 'drama', 'fantasy', 'mystery', 'thriller']",TV-MA,2020.0,60.0,[82],https://www.imdb.com/title/tt8550800/
51,Law & Order: Special Victims Unit,NBC,8.0,75227,93.0,,"['crime', 'drama', 'mystery', 'thriller']",TV-14,1999.0,60.0,"[nan, nan, nan, nan, nan, nan, 100, nan]",https://www.imdb.com/title/tt0203259/
52,Altered Carbon,Netflix,8.1,129504,76.0,64.0,"['action', 'drama', 'sci-fi', 'thriller']",TV-MA,2018.0,60.0,"[68, 85]",https://www.imdb.com/title/tt2261227/
53,The Good Doctor,ABC,8.2,54676,85.0,,['drama'],TV-14,2017.0,41.0,"[63, nan, nan]",https://www.imdb.com/title/tt6470478/
54,Suits,USA,8.5,345074,90.0,86.0,"['comedy', 'drama']",TV-14,2011.0,44.0,"[85, 83, 100, 100, 100, 93, 100, 80]",https://www.imdb.com/title/tt1632701/
55,The Handmaid's Tale,Hulu,8.5,150533,88.0,77.0,"['drama', 'sci-fi', 'thriller']",TV-MA,2017.0,60.0,"[94, 89, 81, nan]",https://www.imdb.com/title/tt5834204/
56,Legacies,CW,7.5,14928,84.0,,"['adventure', 'drama', 'fantasy', 'horror', 'mystery']",TV-14,2018.0,45.0,"[82, nan, nan]",https://www.imdb.com/title/tt8103070/
57,Freud,Netflix,6.6,5575,50.0,,['crime'],TV-MA,2020.0,55.0,[50],https://www.imdb.com/title/tt8667956/
58,How to Get Away with Murder,ABC,8.1,113146,90.0,86.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2014.0,43.0,"[85, 93, 90, 100, 83, nan]",https://www.imdb.com/title/tt3205802/
59,Star Wars: The Clone Wars,Cartoon Network,8.1,47214,93.0,90.0,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'sci-fi']",TV-PG,2008.0,23.0,"[67, nan, 100, nan, 100, 100, 100]",https://www.imdb.com/title/tt0458290/
60,Shameless,Showtime,8.6,188173,85.0,83.0,"['comedy', 'drama']",TV-MA,2011.0,46.0,"[92, 100, 92, 100, 88, 100, 70, 40]",https://www.imdb.com/title/tt1586680/
61,Locke & Key,Netflix,7.4,28620,66.0,70.0,"['drama', 'fantasy', 'horror', 'thriller']",TV-14,2020.0,48.0,"[66, nan]",https://www.imdb.com/title/tt3007572/
62,American Horror Story,FX,8.1,264112,76.0,,"['drama', 'horror', 'thriller']",TV-MA,2011.0,60.0,"[84, 83, 78, 64, 74, 73, 75, 87]",https://www.imdb.com/title/tt1844624/
63,Mad Men,AMC,8.6,193015,94.0,96.0,['drama'],TV-14,2007.0,47.0,"[85, 100, 97, 94, 97, 98, 89]",https://www.imdb.com/title/tt0804503/
64,The Crown,Netflix,8.7,109909,89.0,90.0,"['drama', 'history']",TV-MA,2016.0,58.0,"[89, 89, 90, nan]",https://www.imdb.com/title/tt4786824/
65,Chernobyl,HBO,9.4,442470,96.0,98.0,"['drama', 'history', 'thriller']",TV-MA,2019.0,33.0,[96],https://www.imdb.com/title/tt7366338/
66,NCIS,CBS,7.8,113655,87.0,,"['action', 'crime', 'drama', 'mystery', 'thriller']",TV-14,2003.0,44.0,"[nan, nan, nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt0364845/
67,The 100,CW,7.7,191640,92.0,78.0,"['drama', 'mystery', 'sci-fi']",TV-14,2014.0,43.0,"[76, 100, 83, 93, 100, 100]",https://www.imdb.com/title/tt2661044/
68,Zoey's Extraordinary Playlist,NBC,7.9,4191,74.0,84.0,"['comedy', 'drama', 'musical']",TV-14,2020.0,60.0,[74],https://www.imdb.com/title/tt10314462/
69,The Rookie,ABC,8.0,15259,68.0,96.0,"['comedy', 'crime', 'drama']",TV-14,2018.0,43.0,"[68, nan]",https://www.imdb.com/title/tt7587890/
70,This Is Us,NBC,8.7,91313,92.0,85.0,"['comedy', 'drama', 'romance']",TV-14,2016.0,45.0,"[92, 92, 94, 90]",https://www.imdb.com/title/tt5555260/
71,The Big Bang Theory,CBS,8.1,684180,82.0,81.0,"['comedy', 'romance']",TV-14,2007.0,22.0,"[100, 67, 100, 67, 67, 83, 75, 82]",https://www.imdb.com/title/tt0898266/
72,True Detective,HBO,9.0,471428,78.0,78.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2014.0,55.0,"[87, 62, 85]",https://www.imdb.com/title/tt2356777/
73,Sherlock,PBS,9.1,754631,78.0,83.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2010.0,88.0,"[93, 94, 91, 61, 55]",https://www.imdb.com/title/tt1475582/
74,The English Game,Netflix,7.7,6007,50.0,88.0,['sport'],unrated,2020.0,44.0,[50],https://www.imdb.com/title/tt8403664/
75,You,Netflix,7.8,118269,90.0,81.0,"['crime', 'drama', 'romance', 'thriller']",TV-MA,2018.0,45.0,"[93, 88, nan]",https://www.imdb.com/title/tt7335184/
76,The Simpsons,FOX,8.7,349254,85.0,77.0,"['animation', 'comedy']",TV-PG,1989.0,22.0,"[33, 71, 75, 80, nan, 99, nan, nan]",https://www.imdb.com/title/tt0096697/
77,Lost,ABC,8.3,472317,85.0,92.0,"['adventure', 'drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']",TV-14,2004.0,44.0,"[94, 100, 71, 88, 90, 68]",https://www.imdb.com/title/tt0411008/
78,The Boys,CBS,8.7,138556,33.0,,"['action', 'comedy', 'crime', 'sci-fi']",TV-MA,2019.0,60.0,[nan],https://www.imdb.com/title/tt1190634/
80,Narcos,Netflix,8.8,325547,89.0,94.0,"['biography', 'crime', 'drama', 'thriller']",TV-MA,2015.0,49.0,"[80, 92, 97]",https://www.imdb.com/title/tt2707408/
81,The Vampire Diaries,CW,7.7,269768,86.0,84.0,"['drama', 'fantasy', 'horror', 'mystery', 'romance', 'thriller']",TV-14,2009.0,43.0,"[71, 100, 90, 69, 100, 81, 77, 100]",https://www.imdb.com/title/tt1405406/
82,Manifest,NBC,7.2,19120,57.0,76.0,"['drama', 'mystery']",TV-14,2018.0,43.0,"[57, nan]",https://www.imdb.com/title/tt8421350/
83,Chicago P.D.,NBC,8.1,25162,85.0,,"['action', 'crime', 'drama', 'thriller']",TV-14,2014.0,43.0,"[61, nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt2805096/
84,How I Met Your Mother,CBS,8.3,569198,83.0,83.0,"['comedy', 'romance']",TV-14,2005.0,22.0,"[nan, 100, 100, 100, 100, 78, 54, 75]",https://www.imdb.com/title/tt0460649/
85,Parks and Recreation,NBC,8.6,193018,92.0,91.0,['comedy'],TV-14,2009.0,22.0,"[68, 96, 100, 100, 96, 96, 89]",https://www.imdb.com/title/tt1266020/
86,Riverdale,CW,7.0,104168,86.0,59.0,"['crime', 'drama', 'mystery', 'romance']",TV-14,2017.0,45.0,"[88, 88, 84, 84, nan]",https://www.imdb.com/title/tt5420376/
87,Sons of Anarchy,FX,8.6,241891,87.0,91.0,"['crime', 'drama', 'thriller']",TV-MA,2008.0,45.0,"[88, 93, 90, 100, 83, 76, 83]",https://www.imdb.com/title/tt1124373/
88,Chicago Fire,NBC,7.9,32900,81.0,,"['action', 'drama']",TV-14,2012.0,43.0,"[nan, nan, nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt2261391/
89,Arrow,CW,7.6,397565,85.0,71.0,"['action', 'adventure', 'crime', 'drama', 'mystery', 'sci-fi']",TV-14,2012.0,42.0,"[85, 95, 89, 85, 88, 64, 88, 91]",https://www.imdb.com/title/tt2193021/
90,The Stranger,Netflix,7.4,23524,83.0,,"['mystery', 'thriller']",TV-MA,2020.0,42.0,[83],https://www.imdb.com/title/tt9698480/
91,Succession,HBO,8.5,25684,92.0,92.0,['drama'],TV-MA,2018.0,60.0,"[87, 97]",https://www.imdb.com/title/tt7660850/
92,House M.D.,FOX,8.7,394820,90.0,96.0,"['drama', 'mystery']",TV-14,2004.0,44.0,"[84, nan, nan, nan, 100, 92, nan, 85]",https://www.imdb.com/title/tt0412142/
93,Good Girls,NBC,7.9,24826,87.0,85.0,"['comedy', 'crime', 'drama']",TV-14,2018.0,43.0,"[63, 100, 100]",https://www.imdb.com/title/tt6474378/
94,The Sinner,USA,8.0,71695,95.0,75.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2017.0,45.0,"[90, 97, 100]",https://www.imdb.com/title/tt6048596/
95,Curb Your Enthusiasm,HBO,8.7,94907,92.0,96.0,['comedy'],TV-MA,2000.0,28.0,"[100, 93, 100, 87, 97, 92, 74, 95]",https://www.imdb.com/title/tt0264235/
96,Jack Ryan,Amazon Prime Video,8.1,77617,71.0,71.0,"['action', 'drama', 'thriller']",TV-MA,2018.0,60.0,"[75, 67]",https://www.imdb.com/title/tt5057054/
97,Psych,USA,8.3,80457,89.0,92.0,"['comedy', 'crime', 'mystery']",TV-PG,2006.0,44.0,"[55, 100, 100, 80, 100, 100, 88, 90]",https://www.imdb.com/title/tt0491738/
98,The Expanse,SyFy (Seasons 1-3); Amazon Studios,8.5,89785,93.0,96.0,"['drama', 'mystery', 'sci-fi', 'thriller']",TV-14,2015.0,60.0,"[77, 95, 100, 100]",https://www.imdb.com/title/tt3230854/
99,Mr. Robot,USA,8.5,310388,94.0,94.0,"['crime', 'drama', 'thriller']",TV-MA,2015.0,49.0,"[98, 89, 92, 97]",https://www.imdb.com/title/tt4158110/
100,Planet Earth II,BBC America,9.5,86650,100.0,97.0,['documentary'],TV-G,2016.0,29.0,[100],https://www.imdb.com/title/tt5491994/
101,Planet Earth,Discovery Channel,9.4,158876,95.0,100.0,['documentary'],TV-PG,2006.0,53.0,[95],https://www.imdb.com/title/tt0795176/
102,Band of Brothers,HBO,9.4,349246,94.0,98.0,"['action', 'drama', 'history', 'war']",TV-MA,2001.0,59.0,[94],https://www.imdb.com/title/tt0185906/
103,Blue Planet II,BBC America,9.3,28145,97.0,89.0,['documentary'],TV-G,2017.0,36.0,[97],https://www.imdb.com/title/tt6769208/
104,Our Planet,Netflix,9.3,23829,93.0,92.0,['documentary'],TV-G,2019.0,40.0,[93],https://www.imdb.com/title/tt9253866/
107,Avatar: The Last Airbender,Nickelodeon,9.2,211267,100.0,99.0,"['animation', 'action', 'adventure', 'family', 'fantasy', 'mystery']",TV-Y7,2005.0,23.0,"[100, 100, 100]",https://www.imdb.com/title/tt0417299/
108,The World at War,ITV,9.1,20410,100.0,,"['documentary', 'history', 'war']",TV-PG,1973.0,52.0,[nan],https://www.imdb.com/title/tt0071075/
109,Life,NBC,9.1,36412,70.0,88.0,['documentary'],TV-G,2009.0,47.0,"[55, 86]",https://www.imdb.com/title/tt1533395/
110,The Vietnam War,PBS,9.1,16728,96.0,96.0,"['documentary', 'history', 'war']",TV-MA,2017.0,99.0,[96],https://www.imdb.com/title/tt1877514/
111,Fullmetal Alchemist: Brotherhood,Cartoon Network,9.1,102557,100.0,94.0,"['animation', 'action', 'adventure', 'comedy', 'drama', 'fantasy', 'sci-fi']",TV-14,2009.0,24.0,[100],https://www.imdb.com/title/tt1355642/
112,The Twilight Zone,CBS,9.0,66360,82.0,96.0,"['drama', 'fantasy', 'horror', 'mystery', 'sci-fi', 'thriller']",TV-PG,1959.0,51.0,"[100, 92, 82, 57, 79]",https://www.imdb.com/title/tt0052520/
117,Batman: The Animated Series,FOX,9.0,81342,95.0,98.0,"['animation', 'action', 'adventure', 'family', 'sci-fi']",TV-PG,1992.0,23.0,"[95, nan]",https://www.imdb.com/title/tt0103359/
118,Firefly,Fox/Sci Fi,9.0,235211,76.0,97.0,"['adventure', 'drama', 'sci-fi']",TV-14,2002.0,44.0,[76],https://www.imdb.com/title/tt0303461/
120,Dekalog,BBC,9.0,20117,97.0,95.0,['drama'],TV-MA,1989.0,57.0,[97],https://www.imdb.com/title/tt0092337/
122,Death Note,Cartoon Network,8.9,206493,100.0,96.0,"['animation', 'crime', 'drama', 'fantasy', 'mystery', 'thriller']",TV-14,2006.0,24.0,[100],https://www.imdb.com/title/tt0877057/
124,Cowboy Bebop,Cartoon Network,8.9,81811,100.0,96.0,"['animation', 'action', 'adventure', 'drama', 'sci-fi', 'thriller']",TV-14,1998.0,24.0,[100],https://www.imdb.com/title/tt0213338/
125,Africa,BBC UK,8.9,13070,94.0,,['documentary'],unrated,2013.0,36.0,[nan],https://www.imdb.com/title/tt2571774/
127,When They See Us,Netflix,8.9,67742,96.0,91.0,"['biography', 'crime', 'drama', 'history']",TV-MA,2019.0,29.0,[96],https://www.imdb.com/title/tt7137906/
128,Last Week Tonight with John Oliver,HBO,8.9,73597,98.0,88.0,"['comedy', 'news', 'talk-show']",TV-MA,2014.0,30.0,"[94, 100, nan, 100, 100, nan, nan]",https://www.imdb.com/title/tt3530232/
130,Only Fools and Horses....,BBC One,8.8,43752,100.0,,['comedy'],TV-PG,1981.0,30.0,"[nan, nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt0081912/
131,Hunter x Hunter,Crunchyroll ,8.8,43239,94.0,,"['animation', 'action', 'adventure', 'comedy', 'fantasy']",TV-14,2011.0,24.0,"[nan, nan, nan, nan, nan, nan]",https://www.imdb.com/title/tt2098220/
132,Monty Python's Flying Circus,BBC,8.8,64011,100.0,91.0,['comedy'],TV-14,1969.0,30.0,"[100, nan, nan, 100]",https://www.imdb.com/title/tt0063929/
133,Das Boot,Hulu,8.8,24572,85.0,78.0,"['drama', 'thriller', 'war']",TV-MA,1985.0,50.0,[85],https://www.imdb.com/title/tt0081834/
134,Seinfeld,NBC,8.8,239513,88.0,95.0,['comedy'],TV-PG,1989.0,22.0,"[100, 100, 100, 100, 80, 100, 86, 59]",https://www.imdb.com/title/tt0098904/
135,Pride and Prejudice,BBC One,8.8,71732,88.0,95.0,"['drama', 'romance']",TV-PG,1995.0,32.0,[88],https://www.imdb.com/title/tt0112130/
136,Gravity Falls,Disney,8.8,62530,100.0,97.0,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'mystery', 'sci-fi']",TV-Y7,2012.0,23.0,"[100, 100]",https://www.imdb.com/title/tt1865718/
